Noam Chomsky,Marc Okrand,buscan,buscó,pasea,pasearon
Leonard Bloomfield,Arika Okrent,pierden,perdió,viaja,viajaron
Edward Sapir,David J Peterson,miran,miró,camina,caminaron
William Labov,J R R Tolkien,inoportunan,importunó,merodea,merodearon
Ferdinand de Saussure,Robert E Howard,visitan,visitó,corre,corrieron
John Lyons,Gary Gygax,persiguen,persiguió,vuela,volaron
Umberto Eco,Batman,asesinan,asesinó,reflexiona,reflexionaron
Franz Boas,Frodo Bolsón,llaman,llamó,piensa,pensaron
Stephen C Levinson ,Ged el Archimago,imaginan,imaginó,sueña,soñaron
Zellig Harris,Cthulhu,aman,amó,brinca,brincaron
Charles Hockett,Gandalf el Gris,denuncian,denunció,estornuda,estornudaron
Samuel Gili Gaya,Drácula,abrazan,abrazó,vomita,vomitaron
Dell Hymes,Ender Wiggin,devoran,devoró,crece,crecieron
George Lakoff,Paul Atreides,atacan,atacó,vive,vivieron
Morris Swadesh,Lord Ruthven,capturan,capturó,canta,cantaron
Benjamin Lee Whorf,Lestat de Lioncourt,preparan,preparó,habla,hablaron
José Moreno de Alba,Conan el Cimmerio,saltan,saltó,gesticula,gesticularon
Carlos Lenkersdorf,Elric de Melniboné,huelen,olió,grita,gritaron
Juan Miguel Lope Blanch,Garion de Riva,reciben,recibió,fracasa,fracasaron
Antonio de Nebrija,Rick Deckard,quieren,quiso,llora,lloraron
Panini,Montag el Bombero,secuestran,secuestró,tiembla,temblaron
Sánchez de las Brozas,Luke Skywalker,descubren,descubrió,tose,tosieron
Platón,Jean-Luc Picard,pagan,pagó,ríe,rieron
Aristóteles,Spock,prestan,prestó,gruñe,gruñeron
Margarita Palacios,Eduard Gorey,envenenan,envenenó,muere,murieron
Ludwig Wittgenstein,Shinji Ikari,toman,tomó,ruge,rugieron
Dionisio de Tracia,Haruhi Suzumiya,compran,compró,vuelve,volvieron
Apolonio Díscolo,Light Yagami,ganan,ganó,viene,vinieron
Prisciano,Patrick Bateman,admiran,admiró,cae,cayeron
Gottlob Frege,Robert Neville,escuchan,escuchó,sube,subieron
Algirdas Greimas,Raistlin Majere,perciben,percibió,baja,bajaron
Wilhelm von Humboldt,Coraline,entienden,entendió,entra,entraron
Gottfried Herder,Solomon Kane,aprenden,aprendió,sale,salieron
Nikolai Trubetzkoy,Eddard Stark,olvidan,olvidó,existe,existieron
Roman Jakobson,Capitán Diego Alatriste,reconocen,reconoció,lee,leyeron
Franz Bopp,Fafhrd,solicitan,solicitó,aburre,aburrieron
Jakob Grimm,Sailor Moon,piden,pidió,espera,esperaron
C S Peirce,Harry Potter,estiman,estimó,huye,huyeron
Roland Barthes,Homero Simpson,desprecian,despreció,ladra,ladraron
John Searle,Morticia Addams,odian,odió,maulla,maullaron
David Crystal,Jack Skellington,aumentan,aumentó,nace,nacieron
John Austin,Himura Kenshin,destrozan,destrozó,envejece,envejecieron
Carl Wernicke,H P Lovecraft,cortan,cortó,rejuvenece,rejuvenecieron
Paul Broca,Joyce Carol Oates,unen,unió,saluda,saludaron
Steven Pinker,Poppy Z Brite,visten,vistió,adelgaza,adelgazaron
Derek Bickerton,Ursula K Le Guin,masajean,masajeó,engorda,engordaron
Émile Benveniste,Clive Barker,seducen,sedujo,baila,bailaron
Andrés Bello,Neil Gaiman,desnudan,desnudó,respira,respiraron
Ignacio Bosque,Alan Moore,utilizan,utilizó,sonrie,sonrieron
Eugenio Coseriu,Tanith Lee,acompañan,acompañó,gime,gimieron
Louis Hjelmslev,Ray Bradbury,aconsejan,aconsejó,aparece,aparecieron
Emilio Alarcos Llorach,Isaac Asimov,devastan,devastó,desaparece,desparecieron
Otto Jespersen,Philip K Dick,crean,creó,permanece,permanecieron
Paul Grice,Hatsune Miku,describen,describió,suspira,suspiraron
